,channel_id,clusters
0,50% anual warren buffett,1
1,Abdulrahman Al-Majed,0
2,Arabic,2
3,Quran,1
4,Recitation,1
5,Surah An-Nur,0
6,Surah Ar-Rahman,1
7,The Beneficent,2
8,The Light,2
9,UC-01WyZQS8VVa-ozwIpn2dw,2
10,UC-1ZY8bY46rX3ySgG3Qyn3g,2
11,UC-4BLoCa4Yvxq-BpHziIkXA,2
12,UC-4odbEuLYVno3NSt27dhfw,2
13,UC-6XfK_La__cSMqfPxlLMDA,2
14,UC-BAJMLqdQQygHOzaP89CIg,2
15,UC-BiB7G6buO2glppQ0_VnlA,2
16,UC-C0GAeQm_9cqBj7eOK7l6g,2
17,UC-G-MGwe9vGtEgONYJLfouQ,2
18,UC-JMR4p7jV7uvBx2pj-1GFQ,2
19,UC-MEJ4LF58epfogBKDQO9Dw,2
20,UC-MoKDIfJoUSowRlxk1TSEQ,1
21,UC-Mv5IaDuufnCDeJ1DZ-ycA,2
22,UC-N0tUOFe5BrPi4Zy_VRIew,2
23,UC-St_GliyFpUxqJAXbNxSAQ,1
24,UC-TiQOAoj77j18jsFkTxXog,2
25,UC-W--yg5TXTNYKT5tSAaP6A,2
26,UC-ZF4stTBnYz9v2eR21MT5Q,2
27,UC-aBMXK4ikhkQdDDy_W1kvg,1
28,UC-aEgMf18M6lEBKrgk9KMAA,2
29,UC-dyYKpCRb5ZbZKv7x8UXyw,2
30,UC-lVlFup88QEZsSBJgD8qsA,2
31,UC-m706G5soAhmgsUDp7G7-Q,2
32,UC-mT4cl-HYqFqo6-UZpNtTg,2
33,UC-oxdbBmrzmYdmUs4LLJNRA,2
34,UC-qnIJz_VjFKFygqNEQ2hBw,2
35,UC-ujWstsg_kGdToI_4UJNMw,2
36,UC-wgIlUEshLbrXdUGQ8FYBg,2
37,UC02E6RsUBzn2Xn9wpR7w7Bw,2
38,UC02eZXsDaFpYwXHBq-2ZqrA,2
39,UC05RcMmCKKhx-MCpkSscckA,2
40,UC086HeQzBHKGwGAvAhvT-_A,0
41,UC0BM4EaWKbsMQqxjgjKOmTw,2
42,UC0CD-3_fmnMrZCIMso4tntw,2
43,UC0CmLTCT5Luku4GOP9P6hQQ,2
44,UC0IVRRrfMfGdC4prIZ47KaQ,2
45,UC0JUkSxE6SSstGg689lBjRA,2
46,UC0J_reLye8uQp45LWocECow,2
47,UC0MMa1utqk9kHdhq5rvCvrQ,2
48,UC0QDROSbr-QFoMA1Bhua2Hw,2
49,UC0R3ZWB8mfDDb_0Ysb6vkJw,2
50,UC0Tf8LUUtL3E24Dr28vXkbA,2
51,UC0Uk8NnnFUtzzqGKmF54b6w,2
52,UC0VvS-sN_FXxILXdEQDcacA,2
53,UC0_k1fZuKNY6YINFTBfDuyA,1
54,UC0aere1Knz9vyo6hbMDU3IQ,0
55,UC0bsqKE2JQiphevgewPq-eQ,1
56,UC0cnk1o7fdKbWOHlEj6KCHw,1
57,UC0dusGTZg1jQ8mpQIZnmpeA,2
58,UC0dzA1LF2rQnILaXeftRMAw,1
59,UC0eUEIKsRhcTRD5melye6Tg,0
60,UC0fr2RVyzeIoe9nV0Oax2tg,1
